all_docs,limited_docs,positives_mean,positives_stdev,recall_mean,recall_stdev
1,1,0.10000,0.31623,0.00038,0.00119
3,3,0.40000,0.69921,0.00151,0.00263
6,6,0.90000,1.10050,0.00348,0.00419
10,10,1.30000,1.33749,0.00508,0.00511
15,15,1.80000,1.31656,0.00702,0.00509
21,21,3.10000,1.44914,0.01208,0.00530
28,28,4.10000,1.28668,0.01605,0.00452
36,36,6.20000,1.87380,0.02421,0.00636
45,45,8.20000,2.74064,0.03193,0.00933
55,55,10.70000,3.91720,0.04173,0.01348
66,66,13.50000,5.10446,0.05268,0.01787
79,79,17.40000,6.78561,0.06792,0.02422
94,94,23.70000,9.73025,0.09231,0.03528
111,111,30.40000,11.74923,0.11834,0.04196
130,130,38.40000,12.55388,0.14975,0.04424
151,151,48.60000,12.87720,0.19007,0.04448
175,175,59.20000,13.39818,0.23201,0.04579
202,202,72.60000,13.11657,0.28477,0.04155
232,232,86.90000,14.22400,0.34091,0.04337
265,262,102.50000,14.30812,0.40265,0.04300
302,292,116.00000,12.49000,0.45624,0.03569
343,322,130.00000,12.56981,0.51133,0.03317
389,352,141.00000,12.30176,0.55467,0.02921
440,382,152.50000,13.16772,0.59990,0.03056
497,412,162.30000,13.22498,0.63860,0.03007
560,442,172.70000,13.21657,0.67957,0.02701
630,472,181.70000,11.57632,0.71519,0.01581
707,502,190.20000,12.81319,0.74849,0.01713
792,532,197.00000,12.51666,0.77533,0.01181
886,562,204.30000,11.70043,0.80436,0.01246
990,592,211.70000,13.41682,0.83318,0.01169
1105,622,218.20000,13.38988,0.85886,0.01127
1232,652,224.70000,14.42259,0.88434,0.01465
1372,682,230.90000,13.68251,0.90897,0.01432
1526,712,234.70000,13.71171,0.92397,0.01460
1696,742,237.20000,13.74207,0.93381,0.01280
1883,772,238.50000,14.04160,0.93893,0.01590
2089,802,241.20000,12.98546,0.94979,0.01490
2316,832,244.10000,13.43668,0.96110,0.01135
2566,862,245.80000,13.22288,0.96785,0.01154
2841,892,248.10000,13.70685,0.97680,0.00817
3144,922,250.10000,14.00357,0.98463,0.00749
3478,952,250.90000,13.70685,0.98785,0.00716
3846,982,251.80000,14.43607,0.99126,0.00745
4251,1012,252.30000,14.35309,0.99325,0.00804
4697,1042,252.90000,13.89204,0.99570,0.00473
5188,1072,253.00000,13.92041,0.99609,0.00493
5729,1102,253.00000,13.92041,0.99609,0.00493
6325,1132,253.00000,13.92041,0.99609,0.00493
6981,1162,253.10000,13.96384,0.99647,0.00475
7703,1192,253.20000,14.08545,0.99684,0.00421
8498,1222,253.30000,14.06374,0.99724,0.00431
9373,1252,253.30000,14.06374,0.99724,0.00431
10336,1282,253.50000,13.76994,0.99808,0.00267
11396,1312,253.60000,13.63166,0.99850,0.00260
12562,1342,253.70000,13.76025,0.99887,0.00182
13845,1372,253.90000,14.00357,0.99962,0.00122
15257,1402,253.90000,14.00357,0.99962,0.00122
16811,1432,253.90000,14.00357,0.99962,0.00122
18521,1462,253.90000,14.00357,0.99962,0.00122
20402,1492,253.90000,14.00357,0.99962,0.00122
22472,1522,253.90000,14.00357,0.99962,0.00122
24749,1552,253.90000,14.00357,0.99962,0.00122
27254,1582,253.90000,14.00357,0.99962,0.00122
30010,1612,253.90000,14.00357,0.99962,0.00122
33042,1642,253.90000,14.00357,0.99962,0.00122
36378,1672,253.90000,14.00357,0.99962,0.00122
40048,1702,253.90000,14.00357,0.99962,0.00122
44085,1732,253.90000,14.00357,0.99962,0.00122
48526,1762,253.90000,14.00357,0.99962,0.00122
53412,1792,253.90000,14.00357,0.99962,0.00122
58787,1822,253.90000,14.00357,0.99962,0.00122
64700,1852,253.90000,14.00357,0.99962,0.00122
71205,1882,253.90000,14.00357,0.99962,0.00122
78361,1912,253.90000,14.00357,0.99962,0.00122
86233,1942,253.90000,14.00357,0.99962,0.00122
94893,1972,253.90000,14.00357,0.99962,0.00122
104419,2002,254.00000,14.04754,1.00000,0.00000
114898,2032,254.00000,14.04754,1.00000,0.00000
126425,2062,254.00000,14.04754,1.00000,0.00000
